"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",33,37,12,7,22,10,19,8,14,22,11,17,17,8,5,6,4,7,5,5,14,10,4,11,4,5,1,10,4,8
"2",22,11,7,3,7,6,8,6,3,10,0,9,7,7,3,4,5,5,6,1,8,6,1,6,5,2,2,7,3,5
"3",22,12,6,2,1,2,5,7,3,9,2,5,7,7,3,3,6,1,1,3,3,6,2,5,5,0,4,3,5,1
"4",11,10,3,3,7,2,3,4,2,7,5,4,7,1,6,1,4,3,0,3,3,4,0,0,1,0,1,0,2,3
"5",9,11,8,2,3,2,4,4,3,7,5,4,4,4,2,2,4,0,3,3,2,5,0,2,3,0,1,6,2,4
"6",35,24,12,9,10,3,9,4,9,15,8,6,9,16,3,7,8,2,5,4,12,7,4,12,4,7,1,2,8,7
"7",64,43,27,5,52,12,19,15,14,26,8,23,21,23,6,28,16,21,9,11,23,13,11,15,13,8,8,13,11,18
"8",84,67,47,29,57,12,31,26,23,33,16,32,27,35,17,24,26,11,21,14,29,33,25,18,21,14,17,23,13,18
"9",95,81,73,30,35,19,32,35,24,40,33,38,54,31,17,32,29,28,28,17,49,19,14,25,16,20,17,23,24,25
"10",103,79,62,19,35,33,36,18,30,53,39,38,61,39,11,19,19,37,27,26,42,32,17,36,19,18,21,28,19,32
"11",100,107,59,43,24,38,24,24,27,50,42,34,37,47,18,35,30,32,31,30,44,31,17,32,25,9,22,22,22,22
"12",114,91,76,34,29,41,45,18,36,55,30,37,35,22,25,29,31,33,31,24,25,29,20,22,21,21,23,25,12,27
"13",133,98,89,31,30,35,39,25,29,69,39,44,65,36,16,23,43,28,36,32,23,34,23,24,18,16,26,15,21,36
"14",136,89,64,43,43,27,41,38,34,78,36,47,41,38,24,41,31,20,34,22,25,45,23,21,23,20,36,41,22,33
"15",132,108,86,38,43,42,49,45,31,80,52,34,54,44,32,48,43,31,34,38,21,33,23,35,29,13,37,33,31,23
"16",151,86,65,36,31,56,55,42,30,58,36,41,66,52,14,40,38,23,45,29,35,33,38,30,39,20,32,19,21,23
"17",112,86,63,38,34,45,46,48,36,72,31,44,49,41,24,32,27,18,44,36,34,45,39,25,24,27,24,22,25,35
"18",103,81,74,25,32,35,29,34,25,55,31,44,73,31,17,35,32,21,33,28,25,25,37,32,21,31,22,17,17,20
"19",128,95,89,50,26,50,55,52,44,60,39,55,48,47,23,52,30,24,41,36,35,36,36,27,29,20,40,34,24,28
"20",150,109,90,87,42,55,58,57,34,87,60,76,84,64,27,58,29,34,42,49,27,47,39,37,20,21,41,38,27,27
"21",159,136,108,82,75,54,70,90,65,119,68,78,79,62,42,55,52,24,48,51,35,58,45,40,31,40,37,37,27,24
"22",167,128,85,96,78,34,88,91,69,83,92,77,88,64,38,66,48,41,55,63,68,61,46,47,39,28,39,64,32,37
"23",143,113,90,81,45,31,43,84,51,64,58,47,88,40,24,34,60,24,43,52,43,39,45,39,26,24,29,35,19,31
"24",102,64,52,29,23,36,27,26,29,33,38,26,50,44,13,18,26,12,20,11,28,32,19,37,20,14,14,29,13,16
"25",55,37,22,17,20,14,16,12,24,15,16,17,22,7,11,11,14,12,12,6,9,20,6,10,11,2,5,15,7,11
"26",33,20,8,4,7,7,8,7,6,12,3,12,11,5,4,5,2,4,8,4,3,9,3,3,4,0,3,6,1,3
"27",19,7,6,3,7,8,6,2,4,8,3,6,6,4,0,5,5,1,3,1,4,6,3,1,2,1,5,8,1,1
"28",10,9,4,2,2,1,1,2,3,2,1,4,6,2,3,3,3,2,1,1,2,3,1,3,2,1,3,2,4,3
"29",11,12,7,9,3,6,3,5,2,3,7,6,3,5,0,5,2,1,1,5,0,3,2,2,2,2,2,3,5,0
"30",23,20,17,10,10,12,12,6,12,13,11,7,8,14,8,10,8,3,5,3,5,8,6,8,7,2,7,5,12,12
"31",60,55,35,18,26,24,25,7,22,36,23,33,34,21,12,23,14,6,12,11,17,12,24,14,20,6,15,14,14,13
"32",89,68,46,52,34,17,24,27,23,52,35,32,36,18,21,36,27,25,13,17,46,28,38,15,17,15,15,22,15,19
"33",126,73,75,28,41,35,37,30,31,63,37,33,56,41,23,19,19,29,32,25,37,40,36,37,34,14,16,23,31,18
"34",120,79,88,51,37,50,46,30,27,53,39,32,48,26,21,31,32,24,34,31,45,39,42,31,20,28,18,21,11,20
"35",112,69,106,33,24,49,28,34,25,41,42,30,45,40,26,22,30,36,29,33,36,41,28,21,14,18,21,23,24,17
"36",105,45,84,37,26,50,34,36,22,44,23,32,43,19,24,38,19,18,23,26,32,27,25,22,21,19,19,23,32,22
"37",132,62,116,42,36,38,32,35,34,57,30,40,42,30,14,17,29,22,17,39,34,28,27,22,35,14,20,23,21,33
"38",119,57,111,63,26,40,41,43,31,53,33,46,43,29,27,28,28,25,20,37,28,37,30,22,23,17,27,37,24,21
"39",137,63,116,59,44,55,44,39,24,64,48,50,37,34,28,34,37,24,26,30,34,32,32,30,26,16,38,34,23,20
"40",146,94,109,52,38,50,45,36,33,69,32,41,47,50,39,32,25,28,33,27,47,48,41,28,36,27,31,33,27,24
"41",142,67,95,47,32,63,63,41,33,55,44,36,48,24,30,30,28,19,34,27,32,50,22,27,27,19,32,15,29,24
"42",128,80,98,47,27,29,42,39,25,51,36,50,43,35,17,33,24,25,30,34,46,36,26,22,21,18,24,17,24,17
"43",179,95,129,66,44,46,59,55,36,72,55,56,49,31,31,47,28,34,27,32,33,53,40,35,37,20,43,21,35,27
"44",186,106,128,98,62,44,68,65,35,96,48,76,71,50,42,68,52,31,27,43,46,56,50,43,40,37,42,32,41,56
"45",199,101,160,99,68,52,88,72,74,106,90,80,67,55,50,55,58,40,45,55,39,53,37,52,47,22,48,41,47,63
"46",239,150,150,98,66,36,81,42,65,105,76,82,70,62,53,43,61,24,48,81,52,76,62,47,44,30,39,49,34,67
"47",179,151,110,95,61,36,43,36,42,75,58,41,69,34,35,29,48,29,33,36,38,47,58,45,35,25,37,48,13,55
"48",82,42,39,18,33,26,25,23,20,42,26,21,28,11,8,16,19,14,18,19,22,30,12,16,23,20,13,27,12,43
"49",40,18,18,12,14,9,16,10,14,15,8,8,10,8,6,9,10,3,7,12,13,6,5,6,3,4,2,14,3,6
"50",18,7,12,7,7,3,12,4,6,8,6,6,6,5,4,9,5,2,2,5,3,11,1,1,4,0,3,4,4,4
"51",12,9,10,2,3,7,1,1,5,6,2,6,5,3,2,3,1,1,5,1,1,4,0,2,2,0,6,4,2,3
"52",13,8,4,2,1,2,9,2,1,3,5,4,3,2,3,4,3,3,2,1,4,4,1,1,3,1,4,5,4,5
"53",10,9,6,5,5,6,5,1,6,2,3,4,1,2,3,5,1,3,3,1,3,1,2,3,5,0,4,0,7,10
"54",20,19,23,10,9,9,15,4,13,17,3,6,10,7,15,8,3,4,2,5,6,13,4,4,5,2,5,4,7,19
"55",47,37,41,10,16,14,24,7,9,17,16,13,10,22,21,21,6,9,4,6,8,12,10,5,12,6,5,8,11,29
"56",78,35,60,37,24,17,35,17,20,37,29,20,19,14,19,16,18,15,12,25,16,16,19,21,16,9,12,25,19,33
"57",104,60,59,26,32,32,56,27,41,44,28,26,30,47,20,19,29,30,14,26,27,19,19,21,17,10,15,19,18,47
"58",137,58,96,54,40,43,61,30,36,41,41,27,33,39,19,45,19,24,13,25,44,28,16,19,27,25,22,28,15,38
"59",117,69,61,27,38,39,46,33,36,53,40,41,31,26,38,32,22,24,17,33,23,28,25,16,23,15,19,15,17,41
"60",120,49,60,39,24,44,45,33,39,43,34,29,28,34,48,24,28,28,14,26,17,35,22,21,30,14,22,22,26,40
"61",139,45,72,55,37,41,61,39,39,53,35,35,33,41,33,29,20,34,28,31,25,27,36,22,38,15,30,26,35,39
"62",120,69,84,46,34,27,61,42,31,70,39,37,43,31,38,37,19,36,13,39,26,24,26,17,26,21,24,35,22,52
"63",121,79,74,38,29,37,52,32,27,48,30,40,48,25,31,46,20,36,27,31,18,21,29,21,21,20,19,29,27,35
"64",136,73,70,44,42,60,51,36,29,36,31,30,32,23,34,28,22,20,24,29,32,25,22,23,26,8,24,24,25,39
"65",112,67,59,41,38,38,43,31,31,49,36,34,24,21,42,21,21,25,16,26,19,26,19,26,24,25,23,31,25,30
"66",106,67,52,57,30,42,29,38,20,62,30,32,34,26,28,33,17,16,15,27,22,25,21,13,27,19,16,18,19,34
"67",142,74,94,63,44,46,58,62,33,64,50,41,32,39,33,40,26,27,26,27,29,28,27,21,30,23,23,17,23,57
"68",170,101,108,94,70,41,71,48,43,79,62,45,57,37,48,47,45,32,35,35,43,34,23,22,33,28,35,37,31,58
"69",196,133,110,97,75,41,67,49,43,65,75,71,70,55,51,59,51,33,43,52,57,56,29,41,42,20,47,22,37,103
"70",216,116,123,102,79,39,69,44,58,79,66,52,80,53,53,63,59,29,44,53,48,44,41,41,57,21,50,39,36,69
"71",164,95,73,68,42,24,59,24,50,77,54,33,51,38,29,25,39,32,41,47,38,30,35,30,36,23,27,32,27,39
"72",65,55,28,10,40,27,23,23,33,22,17,22,16,16,18,15,19,20,14,12,30,16,10,26,16,8,6,14,9,16
"73",45,16,22,12,13,10,17,5,15,10,5,8,15,11,4,16,12,4,7,7,5,8,5,4,5,8,7,10,6,4
"74",16,14,11,7,6,5,10,5,6,5,3,9,4,5,3,3,6,3,5,2,2,3,2,3,11,3,1,9,0,6
"75",9,9,4,6,7,6,8,3,4,1,7,5,3,1,5,9,7,3,0,4,1,2,1,2,6,3,1,1,6,1
"76",14,16,3,2,4,3,4,1,2,2,2,4,5,2,3,5,3,0,2,3,1,2,1,3,1,0,1,1,2,1
"77",19,12,9,7,2,5,6,4,2,8,4,4,7,2,3,3,2,7,0,1,1,2,2,2,4,3,1,1,3,3
"78",30,28,12,11,20,6,13,2,12,9,9,9,7,11,3,9,8,3,3,3,3,7,0,8,7,0,3,3,13,13
"79",50,29,42,9,30,10,26,5,15,16,20,11,27,19,14,18,9,12,12,6,21,5,7,12,9,10,9,9,12,16
"80",81,45,38,31,38,34,32,23,18,21,29,24,27,14,19,30,13,11,19,14,20,16,17,15,20,12,11,15,15,19
"81",115,72,52,32,40,33,21,27,15,34,38,20,33,44,20,32,31,19,21,27,44,24,17,17,22,19,16,15,20,33
"82",109,80,80,35,47,43,36,36,27,34,21,31,38,47,33,40,36,35,27,32,36,31,20,23,19,16,12,25,20,30
"83",108,64,54,39,37,25,23,21,22,38,33,23,37,38,39,31,25,21,28,16,39,31,19,21,26,17,12,26,14,39
"84",130,85,58,34,51,35,36,33,23,44,37,27,36,49,33,36,20,34,24,24,26,31,17,30,19,22,18,43,23,18
"85",132,76,67,52,37,44,21,26,27,50,52,31,36,35,28,29,31,33,25,32,32,41,18,25,33,18,19,21,23,29
"86",131,69,47,41,35,60,37,32,33,35,42,28,41,34,37,29,35,33,19,22,20,35,25,23,32,17,24,21,23,48
"87",151,57,91,67,45,34,33,38,27,33,27,34,41,44,21,29,22,37,24,29,30,47,12,20,30,22,20,29,31,32
"88",157,72,64,40,43,35,27,27,38,32,31,22,34,34,32,36,32,28,22,24,23,43,21,32,25,11,23,25,30,37
"89",97,59,45,47,30,50,34,39,21,40,40,29,21,27,27,27,21,25,24,28,31,22,26,24,26,15,19,20,17,26
"90",111,62,38,39,41,33,36,39,29,42,48,26,30,34,22,30,25,22,28,28,22,32,12,19,20,16,33,20,23,27
"91",157,77,73,57,63,52,38,64,35,54,55,48,29,50,32,43,19,36,29,28,23,30,26,20,31,18,35,32,31,27
"92",180,106,96,70,51,49,34,64,51,70,51,55,47,70,45,39,42,34,36,28,29,40,19,33,33,33,39,23,39,71
"93",235,112,93,77,69,41,39,48,50,69,64,48,57,54,35,47,42,36,39,47,34,52,22,32,45,31,44,29,40,59
"94",187,119,94,62,71,34,65,61,62,73,66,46,62,58,36,78,59,31,43,54,49,44,42,43,45,33,32,29,17,38
"95",167,78,64,42,52,19,49,40,44,31,47,36,41,42,26,22,42,25,31,27,36,41,25,32,31,11,28,17,18,29
"96",75,43,20,15,40,32,41,22,16,33,30,15,26,18,11,22,25,20,17,11,22,17,5,16,19,9,7,12,7,16
"97",39,15,13,7,18,8,4,4,9,11,9,7,18,14,6,4,11,6,11,4,7,7,4,4,5,19,6,4,12,5
"98",12,12,10,5,3,10,8,1,4,2,4,6,3,9,3,4,4,2,5,3,7,4,2,1,5,4,1,6,3,4
"99",13,7,5,3,5,6,4,3,5,5,3,3,4,2,2,3,5,1,3,1,0,7,1,4,2,1,1,0,2,2
"100",25,8,8,5,8,2,0,2,2,2,3,4,3,5,2,2,2,1,1,1,1,8,0,4,1,2,2,3,2,0
"101",13,7,6,10,4,2,2,0,5,8,4,1,0,3,3,1,3,1,0,0,2,2,1,3,3,2,3,0,3,6
"102",42,23,23,8,12,7,6,1,10,13,9,10,8,11,7,9,5,3,6,1,2,11,4,6,4,3,3,7,10,6
"103",52,29,28,18,23,12,17,9,14,24,19,13,18,19,8,15,11,14,9,6,11,13,8,23,15,5,4,8,12,14
"104",68,50,37,34,26,17,23,21,18,26,22,18,24,21,11,14,23,19,13,15,14,21,24,13,13,23,9,17,21,15
"105",132,74,42,30,23,32,24,28,29,27,27,26,22,35,18,18,27,27,20,16,23,21,27,24,12,21,14,18,16,18
"106",155,96,83,41,38,42,23,28,38,14,38,22,33,35,35,18,31,29,24,21,34,35,24,17,23,23,25,29,17,40
"107",122,62,53,44,36,41,33,33,21,25,34,43,26,24,33,28,18,33,27,13,34,36,26,21,17,22,18,21,15,24
"108",103,58,78,49,31,49,33,28,25,36,28,23,34,23,38,23,27,31,15,26,22,23,30,16,28,33,26,25,28,36
"109",115,75,67,58,40,55,27,50,48,41,40,30,38,31,42,20,34,31,24,40,36,32,20,30,33,26,32,41,29,22
"110",145,83,74,39,37,39,33,22,40,35,40,29,35,29,35,30,30,26,22,40,33,34,26,17,24,18,19,18,20,37
"111",134,71,73,48,28,43,23,33,43,35,50,31,35,32,25,29,39,46,22,29,29,28,25,40,19,17,36,29,32,34
"112",116,76,78,59,35,42,30,31,32,27,47,33,32,18,30,27,36,31,20,25,27,39,22,23,24,19,28,22,23,36
"113",112,61,45,45,32,40,22,21,31,22,35,32,31,32,26,18,15,25,16,28,24,28,30,29,22,30,27,19,22,29
"114",105,80,48,41,34,50,39,29,34,36,28,28,18,26,26,27,25,16,26,31,21,20,17,30,18,22,31,19,23,18
"115",124,71,60,59,28,51,36,47,49,41,39,22,40,27,35,23,33,24,23,29,25,26,28,30,31,24,32,18,38,24
"116",137,106,80,63,53,32,42,82,50,56,38,41,41,40,40,52,36,28,30,38,26,35,24,27,46,23,24,33,27,51
"117",189,105,84,95,78,49,39,65,47,68,69,44,66,45,43,33,48,16,35,48,45,44,40,51,54,39,36,47,34,43
"118",220,107,103,87,64,34,34,65,54,59,65,59,73,50,52,40,50,38,41,46,46,39,45,44,32,30,36,36,41,65
"119",145,81,71,63,56,31,20,63,54,35,48,35,57,28,38,29,41,16,27,49,32,32,34,40,29,26,27,30,16,25
"120",87,50,17,23,29,35,16,32,21,20,15,23,35,19,17,18,19,20,18,17,18,17,20,10,18,10,6,14,22,14
"121",40,26,14,8,12,8,12,8,16,2,8,6,8,7,14,7,7,7,10,8,5,9,8,3,7,12,0,5,2,5
"122",13,6,11,4,7,11,4,3,2,2,3,6,3,4,4,1,3,4,2,1,3,3,4,3,4,3,1,6,5,1
"123",14,5,5,6,1,5,3,1,4,5,3,3,4,5,2,3,1,2,2,1,1,4,6,3,5,0,2,1,1,1
"124",15,6,8,9,9,3,4,3,5,1,1,2,1,2,3,4,7,3,2,0,1,5,2,4,2,1,2,3,6,3
"125",6,10,9,4,9,1,3,0,2,4,6,4,4,4,2,6,2,4,6,3,1,1,4,2,2,2,3,0,2,2
"126",9,15,14,14,8,14,11,4,13,16,4,13,14,10,9,7,4,1,3,2,5,2,7,8,6,5,9,2,12,2
"127",23,21,45,8,26,22,26,7,16,15,12,23,16,20,6,18,18,5,10,5,7,6,21,11,11,5,12,6,12,4
"128",31,44,32,27,34,26,32,20,23,19,29,28,22,24,21,12,20,16,25,10,24,3,32,18,12,21,6,16,15,5
"129",46,61,86,33,42,40,29,33,29,29,14,30,36,29,37,28,22,21,24,26,30,9,30,20,30,14,14,22,19,8
