"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",15,1,20,11,5,11,5,2,9,2,7,4,6,8,5,6,1,4,3,7,5,6,7,6,6,2,8,4,3,1
"2",7,1,5,2,2,6,0,3,1,1,7,4,5,4,1,5,5,1,4,1,2,2,4,3,2,1,2,1,1,1
"3",9,2,7,5,1,3,3,1,2,1,2,1,3,5,6,2,4,1,2,1,0,1,0,1,2,1,2,3,1,0
"4",4,2,1,3,4,2,4,1,3,1,0,3,2,4,2,3,1,1,2,1,0,0,2,0,1,0,0,1,1,1
"5",6,5,2,1,4,3,2,0,4,2,1,1,0,5,9,1,2,1,3,3,2,2,1,0,2,0,1,1,0,1
"6",12,5,8,3,5,8,13,4,11,3,5,6,4,13,2,2,1,1,6,2,4,3,6,8,1,1,3,2,3,2
"7",32,14,10,8,17,15,14,11,21,26,12,14,17,15,10,16,8,4,8,8,8,5,12,16,10,1,10,7,3,6
"8",48,20,28,13,17,12,24,18,19,28,26,12,20,16,7,10,17,7,24,17,13,8,12,17,15,5,13,15,7,14
"9",44,14,30,14,21,24,25,16,14,12,26,21,29,21,31,12,9,10,8,17,13,5,17,19,20,4,14,12,13,16
"10",58,27,18,22,30,23,22,12,29,19,18,25,20,31,21,25,21,13,21,18,17,8,37,17,23,25,18,14,16,12
"11",59,25,20,26,14,16,16,26,21,27,22,19,30,20,21,33,18,18,15,21,25,17,28,17,12,41,14,12,20,9
"12",56,32,25,20,16,21,16,25,33,21,34,24,19,17,17,22,19,15,21,19,14,7,25,26,11,19,20,13,6,11
"13",67,23,23,10,17,23,16,28,27,19,19,20,23,27,23,20,30,13,18,20,22,13,19,25,18,16,15,15,20,11
"14",55,27,26,24,26,18,21,20,17,25,22,40,29,25,24,15,17,17,14,25,20,17,24,24,25,11,27,10,23,14
"15",66,43,24,23,31,15,20,29,33,34,27,24,29,22,23,22,26,21,33,30,24,15,27,20,23,10,24,17,28,18
"16",60,29,23,24,19,22,24,36,23,29,19,26,35,32,31,15,38,17,23,20,16,14,35,29,21,14,22,18,31,12
"17",65,37,35,20,20,24,19,20,33,23,22,22,31,19,25,22,15,17,26,25,14,13,25,30,17,16,16,9,11,20
"18",61,22,22,34,32,16,21,16,25,41,29,30,23,13,20,20,28,9,20,22,21,11,26,24,16,10,15,14,10,6
"19",67,35,37,15,35,25,28,26,37,34,40,30,26,27,23,15,30,15,34,23,19,18,27,38,23,24,33,17,24,32
"20",80,60,42,31,40,28,41,38,42,43,37,42,46,37,40,23,31,14,27,26,27,18,45,41,17,27,27,36,15,15
"21",75,53,56,49,39,39,32,41,37,47,67,55,52,47,38,18,34,28,36,41,29,36,37,31,27,11,46,27,34,27
"22",70,55,47,37,42,38,47,35,43,36,44,51,37,38,40,18,22,23,24,24,42,17,37,37,26,23,31,35,22,18
"23",63,39,41,33,25,36,26,19,27,18,36,29,26,31,12,28,15,8,18,20,26,26,37,32,18,12,28,26,23,27
"24",42,20,18,41,11,26,11,15,17,12,22,14,20,6,26,8,6,5,7,11,12,8,22,9,23,5,8,13,9,10
"25",12,7,19,19,5,9,4,9,7,7,10,6,10,6,7,5,6,4,7,4,4,4,16,2,13,3,4,9,7,6
"26",5,2,11,8,1,9,2,3,4,0,3,4,1,0,1,4,3,1,4,4,2,1,6,2,9,2,5,4,0,2
"27",9,2,2,4,1,3,6,4,0,2,2,2,2,3,1,0,1,1,3,0,2,1,1,0,4,1,2,4,1,1
"28",4,0,2,5,4,1,2,0,4,0,1,1,1,0,0,1,2,0,2,1,3,0,2,6,2,0,1,1,0,0
"29",7,3,2,6,6,3,3,4,6,4,2,3,2,2,3,2,1,3,2,9,1,5,3,3,2,0,3,2,0,1
"30",13,9,4,9,4,2,10,9,7,6,6,7,1,3,2,8,1,3,0,10,4,4,6,6,9,1,2,5,2,4
"31",28,22,25,35,17,19,30,13,18,16,9,8,8,8,7,13,3,8,10,8,12,6,15,27,13,4,8,12,8,12
"32",39,16,22,36,12,20,17,23,18,17,20,8,18,17,15,15,10,5,7,9,20,12,22,16,17,3,12,9,14,14
"33",63,23,31,51,16,23,20,13,18,21,23,13,29,15,26,9,17,19,23,13,21,13,26,14,21,16,18,15,15,16
"34",48,17,35,62,26,24,20,23,20,26,41,25,33,10,26,19,19,19,16,18,22,31,18,17,23,17,20,22,30,11
"35",55,23,23,55,23,36,20,30,22,19,34,19,18,19,20,22,23,26,14,16,27,31,23,24,23,20,18,16,14,8
"36",44,21,20,41,19,31,20,30,27,29,24,17,23,12,11,15,23,13,20,19,15,42,25,20,15,15,17,11,19,11
"37",60,24,27,42,16,34,24,20,38,16,34,17,26,8,22,17,22,12,21,20,22,40,25,23,22,20,16,19,19,17
"38",67,26,24,59,14,35,14,23,32,16,25,22,21,22,26,24,25,18,19,15,27,44,29,20,20,13,21,15,17,15
"39",55,26,37,56,21,35,31,27,27,23,28,19,36,24,26,27,21,20,28,26,31,41,30,20,18,12,27,13,22,11
"40",65,32,37,57,26,30,15,28,25,24,37,20,27,20,18,21,37,18,20,29,28,45,23,20,22,15,16,22,16,6
"41",64,23,42,50,17,16,22,17,24,20,37,34,19,23,23,20,23,13,25,18,17,41,18,10,18,13,21,12,17,8
"42",58,20,33,56,22,31,20,33,28,30,28,24,28,26,25,24,19,23,28,14,16,42,15,22,21,19,31,19,24,10
"43",72,29,44,83,31,33,18,32,33,40,28,21,27,28,28,33,30,16,42,34,23,49,28,25,24,25,31,23,28,10
"44",79,48,57,100,42,38,25,33,48,32,37,25,36,39,23,43,29,45,32,39,30,64,33,34,30,17,25,29,31,15
"45",85,35,47,93,23,50,29,39,53,52,41,36,36,37,32,51,39,29,36,49,23,53,32,21,40,10,38,33,61,24
"46",107,45,47,82,24,41,29,50,39,29,50,42,25,44,33,43,47,21,25,30,39,76,46,23,42,18,33,22,52,33
"47",77,28,42,66,18,33,9,28,31,16,39,15,30,20,28,45,21,6,29,40,29,43,30,21,24,18,24,20,44,26
"48",51,6,30,21,9,33,6,10,10,5,14,13,16,4,9,27,18,5,20,11,8,17,12,5,12,8,9,15,40,19
"49",21,3,9,8,2,17,4,4,5,6,9,4,4,4,4,11,5,6,6,3,7,7,4,1,2,4,3,7,13,6
"50",9,0,7,2,0,3,3,2,1,0,3,3,7,3,4,4,2,1,4,5,3,2,4,3,2,0,1,5,10,0
"51",8,2,5,1,3,3,0,2,0,2,2,5,3,5,1,1,1,0,3,1,0,3,2,5,2,0,1,1,6,1
"52",2,1,2,2,2,3,2,1,3,0,1,2,0,1,0,5,0,0,1,0,0,0,0,0,0,1,5,4,8,2
"53",5,2,2,5,2,3,3,4,4,3,2,3,4,1,1,7,1,4,1,2,1,3,1,4,2,0,2,3,12,2
"54",8,5,7,3,10,16,3,4,9,6,1,4,4,4,5,4,4,3,4,5,2,10,2,2,3,0,3,7,41,6
"55",27,4,16,10,7,9,10,11,12,13,7,15,10,11,7,25,12,8,12,5,2,13,4,10,11,5,15,9,65,16
"56",41,24,10,11,9,17,11,16,18,13,12,13,21,7,15,29,14,8,19,12,9,13,14,20,16,6,11,8,27,28
"57",42,15,20,15,16,22,12,22,21,25,15,25,29,17,10,27,17,10,14,11,8,9,20,24,13,12,17,5,33,32
"58",49,18,20,23,17,26,20,31,21,13,23,28,33,20,24,29,31,19,17,8,23,21,18,13,14,17,18,14,27,33
"59",56,16,26,16,14,16,11,35,34,17,22,21,29,17,13,35,25,18,15,24,13,11,21,20,14,9,18,20,38,28
"60",47,21,17,19,15,25,17,31,21,22,21,32,21,19,24,44,22,27,21,14,17,10,22,7,16,24,26,14,39,36
"61",69,26,17,32,13,24,21,46,18,18,23,41,24,12,21,56,28,16,22,16,16,16,27,10,23,23,35,12,43,43
"62",68,22,29,24,17,25,15,27,21,32,34,32,23,16,20,36,25,21,19,29,20,21,20,16,15,23,28,19,44,35
"63",56,28,33,18,14,22,26,33,19,22,21,32,27,8,16,37,21,16,22,22,19,9,21,14,24,18,31,14,42,39
"64",54,34,31,30,17,23,10,46,21,20,20,23,18,13,13,27,22,19,17,20,18,11,21,19,11,15,36,10,20,39
"65",40,18,19,20,15,24,9,38,22,16,13,27,26,12,16,24,21,14,23,12,11,19,15,10,17,10,25,13,32,32
"66",45,32,24,19,21,22,11,28,20,21,13,32,34,23,15,22,28,17,14,17,18,15,15,14,16,8,24,19,29,43
"67",59,29,35,22,30,20,19,59,28,26,39,32,34,25,25,26,11,20,23,20,18,21,17,14,23,11,35,15,40,47
"68",69,39,40,29,25,26,15,62,28,28,25,38,27,30,18,34,24,19,25,36,23,24,15,17,23,12,53,26,43,52
"69",67,43,51,36,37,26,24,56,40,51,58,57,33,28,21,66,26,25,43,52,39,19,26,35,31,11,80,33,58,78
"70",89,37,45,37,33,26,30,56,51,31,49,44,34,36,22,62,25,17,29,38,38,33,35,17,32,22,70,22,46,80
"71",82,30,36,40,16,39,19,23,24,32,26,24,25,24,19,52,14,13,17,14,24,20,39,13,41,13,38,16,41,50
"72",37,5,27,19,7,21,4,9,10,8,16,12,16,8,13,18,9,8,9,3,13,4,13,15,18,15,27,13,3,12
