"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",46,19,10,0,12,11,17,12,23,13,8,6,8,3,3,12,2,13,8,11,4,4,5,5,11,19,1,0,5,19
"2",27,11,3,1,5,5,11,12,15,3,3,2,1,1,3,2,3,5,1,8,5,7,8,0,3,13,1,0,2,5
"3",16,7,12,0,3,5,9,6,11,5,8,9,3,2,3,4,1,6,4,7,4,1,1,0,7,6,1,0,2,8
"4",20,7,5,1,6,6,9,8,6,1,1,0,2,0,0,1,2,3,3,4,4,1,3,0,6,5,0,0,2,6
"5",15,20,5,1,4,4,9,7,22,4,0,4,3,0,0,2,3,6,5,2,10,3,1,5,9,15,0,1,3,16
"6",40,43,23,4,19,32,21,14,69,17,12,12,6,8,4,3,9,13,10,6,24,7,9,10,15,26,1,1,6,17
"7",86,47,46,10,25,39,36,29,73,22,21,17,22,5,8,23,22,24,12,22,28,32,19,9,21,63,3,3,4,25
"8",121,57,56,9,47,41,30,27,89,32,31,26,30,7,14,27,25,41,23,25,43,22,19,12,28,78,0,4,11,42
"9",123,66,71,138,47,34,36,34,42,35,47,20,31,8,5,27,16,47,28,44,30,17,35,13,37,50,10,7,15,21
"10",142,82,82,134,45,34,52,31,52,45,48,12,33,9,10,24,21,40,20,33,38,16,27,7,32,39,7,11,15,21
"11",133,88,73,179,62,44,52,34,42,47,31,33,25,16,12,23,20,35,19,48,36,18,26,14,41,62,9,5,23,25
"12",114,95,90,200,51,41,44,31,33,40,28,24,34,14,16,22,14,61,30,37,27,26,24,12,23,64,20,8,23,15
"13",148,71,100,254,51,39,49,38,65,41,35,29,29,23,9,24,27,52,24,34,37,14,42,9,29,53,19,4,21,32
"14",139,83,102,324,51,34,46,43,57,42,39,31,24,12,12,30,20,50,31,36,61,19,46,8,29,56,16,0,11,22
"15",151,121,84,292,77,48,64,43,62,53,39,41,31,22,12,24,20,51,33,43,65,13,33,14,43,60,16,12,31,20
"16",178,92,108,401,78,48,68,64,59,34,43,40,32,3,18,36,23,48,30,52,58,24,40,6,39,52,13,7,20,78
"17",163,102,92,456,66,43,67,43,56,33,33,28,33,22,16,42,26,67,33,45,58,19,32,14,28,53,19,8,22,44
"18",121,106,82,385,77,58,55,36,62,45,28,32,22,30,23,23,20,45,30,32,50,13,34,22,38,60,15,15,32,19
"19",157,146,135,476,67,75,64,55,64,57,41,46,31,13,16,30,33,69,34,51,62,21,42,36,45,78,33,15,32,26
"20",210,178,142,459,129,77,77,62,85,61,59,53,60,35,28,40,38,75,45,39,78,18,49,24,48,80,30,15,25,45
"21",256,178,174,437,98,90,83,79,107,72,58,48,54,10,28,36,33,105,34,51,89,37,61,25,64,121,39,16,15,43
"22",255,184,170,295,97,88,102,65,95,48,65,62,41,13,38,39,39,110,41,52,124,47,60,21,60,93,23,22,29,30
"23",204,127,123,163,93,48,93,46,76,20,52,43,34,6,27,43,14,79,24,41,102,27,54,19,44,56,24,29,18,17
"24",92,42,40,112,28,28,38,27,32,21,31,17,27,4,21,30,18,24,23,28,34,12,23,8,23,20,8,1,9,27
"25",53,18,24,39,21,12,15,15,25,15,12,6,11,0,6,17,6,16,3,18,13,7,8,7,8,8,4,0,10,14
"26",24,7,17,21,20,7,7,6,13,9,19,6,7,2,0,6,4,7,2,12,10,4,8,3,3,2,2,0,3,6
"27",21,7,9,18,7,8,3,4,7,4,5,7,7,2,3,5,1,4,7,9,11,2,4,1,4,1,3,0,6,3
"28",9,9,9,14,6,6,6,4,5,2,3,8,6,3,3,1,2,7,0,6,6,1,3,0,3,1,0,1,5,3
"29",20,16,14,32,10,13,3,6,10,4,2,6,3,1,0,5,1,3,1,4,11,3,1,1,6,2,0,5,2,3
"30",25,37,22,55,10,33,16,16,24,7,7,14,9,2,7,7,5,18,9,5,43,4,8,8,15,18,2,8,8,8
"31",58,68,77,133,39,62,31,32,46,18,22,24,15,6,10,13,26,34,13,22,60,7,19,13,27,20,5,3,7,10
"32",123,61,85,181,41,53,51,26,44,21,25,30,20,12,7,22,29,35,20,27,80,22,26,7,36,17,5,5,19,14
"33",119,76,87,210,57,48,47,32,54,26,31,32,38,21,8,22,19,49,25,30,24,19,29,18,32,65,23,0,20,18
"34",140,74,78,413,57,36,44,23,52,42,24,20,43,17,19,23,19,40,28,29,20,25,25,22,24,63,14,3,26,30
"35",119,76,114,282,62,49,60,41,42,40,31,20,30,9,12,26,21,35,23,35,13,13,40,3,25,55,18,6,29,12
"36",111,51,96,207,67,41,48,45,54,37,31,23,26,26,25,26,21,29,26,21,13,17,32,12,25,46,7,4,22,17
"37",123,75,80,186,54,45,36,48,44,38,36,31,22,38,20,24,18,37,24,26,15,16,38,6,23,32,26,11,31,10
"38",138,88,118,206,59,34,53,54,57,36,29,40,35,23,17,27,15,42,28,32,25,12,27,17,29,45,16,5,36,16
"39",163,79,105,236,71,55,51,56,73,50,30,36,43,25,19,26,28,52,18,26,29,24,35,14,33,45,18,3,22,25
"40",142,77,111,202,53,54,48,24,68,34,34,45,32,24,19,28,25,45,33,31,34,17,36,17,32,48,25,2,27,19
"41",109,96,97,205,60,56,46,34,60,48,40,44,31,21,27,35,16,50,33,34,29,29,43,16,24,47,23,11,33,6
"42",150,86,105,190,59,76,49,46,66,48,32,31,37,17,26,33,15,45,29,20,40,24,23,14,33,48,22,14,29,13
"43",165,108,148,216,88,76,85,46,72,61,39,39,29,18,24,26,27,64,26,42,29,24,36,22,41,53,26,12,41,11
"44",182,172,141,236,114,96,67,65,86,56,49,67,54,16,38,46,31,69,56,44,42,29,28,28,40,67,50,11,34,21
"45",238,174,136,215,105,99,100,68,106,76,67,51,47,40,43,49,30,83,68,46,44,44,54,51,65,52,44,27,27,26
"46",245,183,173,224,118,115,119,69,90,66,56,62,68,22,43,44,21,90,62,52,27,37,47,52,45,71,50,32,15,32
"47",156,99,103,138,61,33,49,40,54,35,66,30,37,11,26,31,25,34,36,31,21,33,29,28,26,42,16,17,16,23
"48",70,43,44,21,15,35,22,19,26,27,26,10,26,2,13,16,16,24,24,17,16,39,19,12,8,15,6,2,10,26
"49",33,10,36,3,9,7,12,11,18,10,7,8,7,5,3,10,0,7,17,11,6,12,6,9,7,3,4,0,1,8
"50",22,6,9,7,8,3,7,4,6,6,5,9,3,2,3,2,7,1,2,1,6,8,3,6,2,3,1,0,7,2
"51",8,9,7,2,2,3,4,14,3,5,2,4,5,5,0,4,2,5,3,1,0,5,0,2,5,1,1,0,3,3
