"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",8,15,7,15,7,12,7,11,9,9,8,5,6,6,4,10,1,11,11,7,8,3,17,8,1,10,3,10,11,6
"2",3,3,2,7,6,11,6,3,8,4,5,0,3,3,6,5,0,7,4,11,5,5,7,1,0,6,2,4,3,8
"3",8,4,5,7,2,4,5,5,9,2,5,2,1,1,1,3,1,2,2,5,1,2,8,5,0,2,4,1,0,3
"4",7,1,6,4,4,10,1,2,3,3,5,7,1,4,3,3,0,3,4,3,4,2,2,3,1,1,1,4,1,1
"5",8,1,5,7,3,6,5,2,2,5,3,7,0,0,5,7,0,4,4,4,6,3,2,11,0,2,1,7,0,1
"6",19,13,14,14,10,8,4,9,8,11,2,8,8,12,10,12,5,6,7,7,4,5,6,23,2,7,9,6,1,8
"7",17,10,15,30,31,28,30,14,30,19,14,17,13,14,15,15,3,8,20,18,9,13,14,31,8,8,6,21,10,9
"8",43,19,16,33,26,30,38,22,52,12,15,16,22,22,21,11,3,13,20,14,24,16,18,42,6,22,26,33,19,14
"9",36,16,25,47,36,48,32,23,42,24,10,15,28,29,22,15,3,13,24,17,17,21,23,32,7,20,20,31,14,24
"10",35,32,40,60,40,54,42,22,40,15,33,19,27,35,21,16,7,28,14,22,17,12,40,28,11,22,22,15,11,20
"11",53,28,31,50,52,50,38,33,29,24,26,13,34,32,31,10,5,26,20,19,23,22,25,22,3,13,23,29,12,19
"12",50,40,37,55,34,43,33,39,31,21,16,17,21,15,32,17,9,18,30,21,18,26,31,28,6,30,24,8,14,20
"13",61,37,43,78,36,50,42,42,51,30,36,16,34,33,32,20,12,28,27,20,21,21,35,37,9,15,15,23,14,21
"14",60,34,33,61,51,57,54,49,38,29,21,32,39,27,30,35,5,37,15,29,22,17,36,35,5,18,24,25,17,25
"15",57,30,51,55,51,44,46,39,43,30,32,20,31,29,37,26,9,28,33,35,23,24,37,31,14,19,25,28,30,26
"16",65,29,47,78,52,61,59,52,37,37,29,20,17,37,25,27,8,30,31,25,26,20,42,35,13,21,22,38,24,19
"17",60,33,37,38,52,58,50,41,46,30,26,21,25,28,30,25,7,34,30,24,31,29,26,21,23,24,26,26,18,36
"18",48,39,27,44,45,45,51,46,38,33,32,25,35,27,33,19,5,22,20,30,22,26,25,35,12,12,28,20,15,16
"19",76,38,45,61,53,58,66,43,45,39,32,30,34,46,39,35,7,45,24,36,26,20,32,45,16,29,36,26,20,24
"20",85,51,87,76,64,64,61,42,68,38,41,36,22,36,56,46,16,32,38,34,36,41,43,58,20,30,27,37,36,38
"21",115,46,66,90,90,78,77,66,73,57,47,41,44,56,71,60,21,44,28,40,37,38,53,71,24,37,33,35,39,41
"22",115,49,86,84,74,60,72,67,72,70,58,48,28,55,76,37,17,34,54,50,56,41,32,86,37,47,37,49,35,29
"23",75,30,58,91,77,57,61,54,42,40,30,33,30,36,37,33,3,26,36,30,58,47,39,54,12,32,40,24,33,27
"24",38,15,13,54,36,35,29,24,35,14,15,9,23,25,12,13,1,17,28,15,30,17,30,27,9,13,17,17,9,29
"25",25,10,8,17,9,13,8,9,13,5,6,6,17,8,9,6,0,12,8,14,21,7,10,7,7,4,2,11,8,6
"26",11,6,3,10,6,3,4,6,4,6,6,1,7,7,1,3,1,2,4,9,4,7,3,7,4,9,5,4,4,2
"27",7,3,1,7,3,4,5,6,6,3,2,1,0,3,2,0,0,1,2,9,2,2,3,0,3,0,3,3,3,1
"28",7,3,3,2,5,3,0,4,7,2,6,1,0,3,1,1,0,6,0,0,4,2,1,4,3,3,0,2,4,0
"29",13,12,8,7,6,5,2,5,2,9,5,4,3,3,1,5,0,0,1,4,5,2,5,7,2,1,4,4,1,1
"30",16,9,15,2,11,3,12,7,10,11,9,3,5,6,2,6,2,4,6,3,3,13,6,11,1,6,2,14,4,4
"31",36,22,24,22,25,26,26,14,32,23,6,22,4,18,21,15,2,10,9,12,14,11,11,18,12,16,17,22,13,13
"32",42,31,30,36,29,43,28,28,21,26,21,19,33,25,33,14,2,17,23,19,18,9,24,19,12,5,18,20,8,19
"33",47,19,29,29,31,32,39,21,31,21,35,19,22,28,18,29,7,17,16,19,20,15,26,15,15,15,12,17,8,21
"34",47,22,16,50,43,48,38,33,45,42,19,8,43,27,28,12,4,14,17,20,21,20,31,20,14,19,13,29,16,31
"35",81,31,25,46,47,25,50,50,33,36,30,20,20,22,21,30,2,19,21,13,20,9,19,24,16,22,23,26,17,18
"36",81,33,23,46,43,45,31,45,31,41,29,20,19,23,32,17,6,9,19,16,18,20,20,18,11,20,15,13,18,24
"37",73,24,38,50,53,51,52,40,39,24,28,19,24,23,28,24,6,20,17,27,19,16,22,15,25,14,16,15,18,17
"38",84,38,61,57,62,39,42,39,48,63,26,21,27,36,36,26,9,32,16,14,15,36,28,20,23,16,21,19,15,34
"39",79,44,47,59,43,51,48,59,37,47,23,25,46,32,40,24,14,20,14,17,21,21,27,21,22,23,22,17,16,27
"40",103,44,51,60,43,40,51,46,32,41,35,20,30,32,50,27,13,16,23,27,28,25,24,22,21,15,19,28,13,30
"41",79,30,45,42,46,41,47,46,36,33,30,23,21,25,20,31,7,30,19,24,22,37,27,45,26,16,26,11,18,20
"42",73,46,73,56,46,43,75,40,46,49,22,31,39,24,32,18,15,24,20,24,17,31,29,17,33,14,27,26,15,25
"43",107,64,91,75,66,56,72,53,64,80,39,44,26,31,45,27,14,28,26,28,22,37,32,17,10,23,22,33,10,25
"44",152,63,104,68,119,69,91,64,59,66,37,39,27,57,54,50,27,38,18,38,47,44,40,21,30,26,24,42,24,43
"45",138,75,129,73,129,83,98,60,68,92,42,58,32,64,72,60,17,42,47,63,39,42,49,42,43,42,51,42,28,56
"46",148,72,104,88,104,63,109,70,78,85,52,66,39,66,65,49,35,36,50,41,40,49,49,18,43,49,43,44,24,46
"47",109,31,50,79,59,63,66,55,38,51,38,34,32,36,31,30,3,17,41,28,45,35,39,12,23,17,19,30,37,29
"48",32,10,24,29,33,43,21,30,16,18,19,16,19,12,17,6,12,18,26,10,18,9,12,6,8,11,12,15,17,4
"49",10,6,9,17,10,10,4,12,4,9,12,7,12,10,6,3,1,11,8,8,12,7,5,6,1,10,7,10,6,2
"50",11,5,3,4,3,6,6,4,1,5,3,4,2,7,2,2,0,2,1,3,4,2,3,5,3,3,2,3,4,2
"51",7,3,6,4,4,4,2,1,4,3,3,3,1,5,2,6,1,2,1,0,1,4,4,3,1,2,0,7,3,2
"52",8,4,7,8,7,2,6,6,4,3,2,3,1,0,2,2,2,2,2,6,3,3,1,3,2,1,2,4,5,0
"53",10,2,7,8,9,2,3,8,3,3,6,2,2,1,2,2,0,6,4,3,1,6,5,3,3,1,1,4,1,4
"54",21,15,24,16,27,11,13,8,15,12,4,8,0,7,4,7,3,5,3,11,4,8,4,4,3,2,4,9,6,7
"55",28,12,31,16,32,16,15,12,19,28,16,17,4,12,16,8,5,8,10,15,10,17,8,15,12,7,4,14,13,11
